Map,MapProcessed,Algorithm,Success,TotalTime,AlgoTime,PathLen,Smoothness,RobotShape,RobotSize,RobotColor,DynEnabled,DynCount,Region,ScenarioID,Seed,RRT_Step,RRT_Iter,RRT_GoalBias,PF_k_att,PF_k_rep,PF_Qstar,Thresh,Replans,StartX,StartY,GoalX,GoalY
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,8.5913363,0.0876418,324.9318324,3.213159208,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,3,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,8.928518,0.0110319,328.2740263,5.490113266,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,8,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.0439198,0.0144106,326.3140433,3.68419172,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,8,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,10.0753508,0.0124131,372.8099596,4.722903463,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,8,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,11.6059579,0.0135831,341.9220235,2.860472293,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,8,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.3273518,0.018513,350.8887971,4.352245352,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,8,50000,0.1,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.9155349,0.0230727,354.7416937,5.166588415,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.121102,0.0174665,348.3578757,4.508219567,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,13.3156493,0.0534148,489.6978602,6.975955077,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,10.0702785,0.0390918,371.2372461,5.125674695,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.4213533,0.0292361,342.9424946,4.030184394,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,7.7485789,0.3037772,314.1239176,7.802839226,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,8.7892215,0.3855879,329.8423661,9.16140404,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,26.6872838,0.8057655,846.4294274,15.14021737,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,33.9847636,1.082525,931.4365693,13.59665038,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,17.3522922,3.2822268,318.1603319,6.363007363,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,36.4636695,2.6412951,781.7385379,14.80751553,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.4320533,0.6340439,316.4165171,6.511595664,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,28.0873885,0.7489613,917.4812725,16.06675961,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,0,0.5669197,0.5669197,Inf,Inf,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,50.013148,3.2190942,984.7616016,13.41125538,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,108.3588734,42.21320412,207.2080557,49.93579649
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,28.951478,1.4925559,695.9469918,10.51669975,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,215.9603271,508.6577832,357.0263477,365.0175651
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,7.3062193,0.0098286,261.2012231,2.683189316,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,215.9603271,508.6577832,357.0263477,365.0175651
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,7.2000595,0.0578029,265.8875162,3.687742785,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,215.9603271,508.6577832,357.0263477,365.0175651
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,6.980843,0.009892,259.1308491,3.43505684,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,215.9603271,508.6577832,357.0263477,365.0175651
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,6.8996275,0.0114521,262.1829919,2.474443467,square,6,[0.4235 0.9569 1],0,0,Maze/Clutter,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,215.9603271,508.6577832,357.0263477,365.0175651
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.7324032,0.0449017,360.6719624,5.155511763,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.4370853,0.0410061,356.4255015,4.197456114,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,10.4432576,0.0358507,368.3917595,3.975199507,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,8.9439084,0.0426317,337.8681633,4.144107032,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.1093437,0.023964,351.9421716,3.964967107,square,6,[0.4235 0.9569 1],0,0,Sparse,A,NaN,5,50000,0.05,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.2575508,0.0196717,328.8524308,3.909864694,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,8.8845105,0.0259914,326.3718327,3.155874655,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,14.5715455,0.063434,554.9813116,6.762468804,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.9461241,0.0221249,386.6301872,4.01624228,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.0064757,0.0285609,338.8191196,4.4713092,square,6,[0.4235 0.9569 1],0,0,Sparse,B,NaN,5,50000,0.2,NaN,NaN,NaN,NaN,NaN,381.2238038,173.4972744,79.01302241,241.4560872
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.9155349,0.0230727,354.7416937,5.166588415,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.121102,0.0174665,348.3578757,4.508219567,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,13.3156493,0.0534148,489.6978602,6.975955077,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,10.0702785,0.0390918,371.2372461,5.125674695,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
maps/Occupancy_grid_map_1.ppm,Occupancy_grid_map_1_1.ppm,RRT,1,9.4213533,0.0292361,342.9424946,4.030184394,square,6,[0.4235 0.9569 1],0,0,Sparse,C,NaN,5,50000,0.1,NaN,NaN,NaN,NaN,NaN,384.8276802,172.9824349,74.37946699,242.4857662
